Mixture	blood_highCXCR4_plasmacell	blood_lowCXCR4_plasmacell	blood_end_plasmacell	tonsil_lowCD74_plasmacell	blood_cycling_plasmacell	tonsil_cycling_plasmacell	tonsil_highCD74_plasmacell	blood_plasmablast	P-value	Correlation	RMSE
MMRF_1360	0.431446310217785	0.02075317906654	0.0280369482434127	0.407526789005265	0	0.0666473925043447	0.00290300412012512	0.0426863768425274	0	0.658491155216868	0.753162378576007
MMRF_1032	0.223136501160878	0	0.703552344761214	0	0.0562964039784475	0	0.0170147500994605	0	0	0.985434825235195	1.00525663765257
MMRF_1831	0.268689792786045	0.251038515487011	0	0.276063354175079	0	0.163908105944867	0	0.0403002316069981	0	0.357490106348889	0.947646866961574
MMRF_2532	0.481975041300068	0	0.0742706653666171	0.37535619961371	0.0392431747287257	0	0.0291549189908792	0	0	0.804441456842911	0.595126857502049
MMRF_2698	0.331526816518771	0	0.0546340082800935	0	0.558366612906706	0.0554725622944294	0	0	0	0.849096376747221	0.53623275734892
MMRF_1822	0.486124725873844	0.376320536463168	0	0.1287705927523	0	0	0	0.00878414491068836	0	0.734236052999504	0.679527290311792
MMRF_2731	0.341006769360851	0.406972548893894	0.226675695868814	0.0182204063688687	0	0.00712457950757241	0	0	0	0.903194206415025	0.474557892797584
MMRF_2464	0.395735036906117	0.0200061385511233	0.082023985054715	0.502234839488045	0	0	0	0	0	0.726598785269015	0.687134177771515
MMRF_1365	0.313943157516889	0.182528143242195	0	0.310834572064878	0	0.0596762896021043	0.00782630627257577	0.125191531301357	0	0.184155670721612	1.04120995727069
MMRF_2217	0.294523116593615	0.0735752192391317	0	0.543238247890189	0	0.0886634162770644	0	0	0	0.547379212482246	0.838762707937893
MMRF_2458	0.259796835062112	0.0971249883717566	0.569581774093714	0	0	0.0135071977301452	0	0.0599892047422722	0	0.981343529992624	0.759990199236687
MMRF_1613	0.417050583053766	0.161471136622089	0	0.269858909314724	0	0.10404656217424	0.0228359679085654	0.024736840926615	0	0.235542184066583	1.03673466595903
MMRF_2272	0.289127201571733	0.266564749135389	0.230816544469327	0.109983232279292	0.103508272544259	0	0	0	0	0.934808963733553	0.378636248865306
MMRF_2485	0.501162196598074	0.276736272727911	0.00379721951591307	0	0	0	0.0514440632106328	0.166860247947469	0	0.767027323944143	0.645732108080091
MMRF_2583	0.292259825298979	0.63214932816956	0	0.0755908465314613	0	0	0	0	0	0.299322169993364	1.01285050153897
