"","x"
"672","ZRANB2.AS2"
"673","LRRIQ3"
"674","FPGT"
"675","CRYZ"
"676","TYW3"
"677","SLC44A5"
"678","ACADM"
"679","RABGGTB"
"680","PIGK"
"681","AC118549.1"
"682","USP33"
"683","MIGA1"
"684","NEXN"
"685","FUBP1"
"686","DNAJB4"
"687","GIPC2"
"688","AC103591.3"
"689","IFI44L"
"690","IFI44"
"691","LINC01781"
"692","LINC01725"
"693","TTLL7"
"694","AL359504.2"
"695","PRKACB"
"696","RPF1"
"697","GNG5"
"698","SPATA1"
"699","CTBS"
"700","AL359762.1"
"701","SSX2IP"
"702","MCOLN2"
"703","SYDE2"
"704","C1orf52"
"705","BCL10"
"706","AL078459.1"
"707","ZNHIT6"
"708","COL24A1"
"709","ODF2L"
"710","AL049597.2"
"711","SH3GLB1"
"712","SELENOF"
"713","HS2ST1"
"714","LINC01140"
"715","LMO4"
"716","PKN2.AS1"
"717","PKN2"
"718","GTF2B"
"719","KYAT3"
"720","RBMXL1"
"721","GBP3"
"722","GBP1"
"723","GBP2"
"724","GBP4"
"725","AC099063.4"
"726","GBP5"
"727","LRRC8B"
"728","LRRC8C.DT"
"729","LRRC8C"
"730","AC099568.2"
"731","LRRC8D"
"732","ZNF326"
"733","LINC02609"
"734","ZNF644"
"735","CDC7"
"736","TGFBR3"
"737","BTBD8"
"738","GLMN"
"739","RPAP2"
"740","GFI1"
"741","EVI5"
"742","RPL5"
"743","DIPK1A"
"744","AC093577.1"
"745","MTF2"
"746","TMED5"
"747","CCDC18"
"748","CCDC18.AS1"
"749","DR1"
"750","FNBP1L"
"751","BCAR3"
"752","DNTTIP2"
"753","GCLM"
"754","ABCD3"
"755","F3"
"756","CNN3"
"757","ALG14"
"758","TLCD4"
"759","AC092802.1"
"760","RWDD3"
"761","PTBP2"
"762","DPYD"
"763","SNX7"
"764","FRRS1"
"765","AGL"
"766","AC118553.1"
"767","SLC35A3"
"768","MFSD14A"
"769","SASS6"
"770","TRMT13"
"771","LRRC39"
"772","DBT"
"773","AL445928.2"
"774","RTCA.AS1"
"775","RTCA"
"776","CDC14A"
"777","VCAM1"
"778","EXTL2"
"779","AC104506.1"
"780","SLC30A7"
"781","DPH5"
"782","AC093157.2"
"783","AC093157.1"
"784","AL109741.1"
"785","S1PR1"
"786","LINC01709"
"787","RNPC3"
"788","AMY2B"
"789","PRMT6"
"790","NTNG1"
"791","VAV3"
"792","SLC25A24"
"793","AL359258.2"
"794","FAM102B"
"795","HENMT1"
"796","PRPF38B"
"797","STXBP3"
"798","GPSM2"
"799","CLCC1"
"800","WDR47"
"801","TAF13"
"802","AL356488.3"
"803","TMEM167B"
"804","AL356488.2"
"805","KIAA1324"
"806","SARS"
"807","CELSR2"
"808","PSRC1"
"809","SORT1"
"810","PSMA5"
"811","ATXN7L2"
"812","CYB561D1"
"813","AMIGO1"
"814","GNAI3"
"815","AL355310.1"
"816","AMPD2"
"817","GSTM4"
"818","GSTM2"
"819","GSTM1"
"820","GSTM3"
"821","AHCYL1"
"822","STRIP1"
"823","AL160006.1"
"824","KCNC4"
"825","RBM15.AS1"
"826","RBM15"
"827","LAMTOR5.AS1"
"828","SLC16A4"
"829","AL355488.1"
"830","LAMTOR5"
"831","KCNA2"
"832","AL365361.1"
"833","KCNA3"
"834","CD53"
"835","AL360270.2"
"836","AL360270.1"
"837","LRIF1"
"838","AL360270.3"
"839","DRAM2"
"840","CEPT1"
"841","AL355816.2"
"842","DENND2D"
"843","CHI3L2"
"844","CHIA"
"845","PIFO"
"846","OVGP1"
"847","AL390195.2"
"848","AL390195.1"
"849","WDR77"
"850","ATP5PB"
"851","C1orf162"
"852","RAP1A"
"853","LINC01160"
"854","INKA2"
"855","INKA2.AS1"
"856","AL049557.1"
"857","DDX20"
"858","KCND3"
"859","CTTNBP2NL"
"860","WNT2B"
"861","ST7L"
"862","CAPZA1"
"863","MOV10"
"864","AL603832.1"
"865","RHOC"
"866","SLC16A1"
"867","SLC16A1.AS1"
"868","LRIG2.DT"
"869","LRIG2"
"870","MAGI3"
"871","PHTF1"
"872","RSBN1"
"873","PTPN22"
"874","AP4B1.AS1"
"875","BCL2L15"
"876","AP4B1"
"877","DCLRE1B"
"878","HIPK1.AS1"
"879","HIPK1"
"880","TRIM33"
"881","BCAS2"
"882","DENND2C"
"883","AMPD1"
"884","NRAS"
"885","CSDE1"
"886","SIKE1"
"887","TSPAN2"
"888","VANGL1"
"889","SLC22A15"
"890","ATP1A1"
"891","ATP1A1.AS1"
"892","CD58"
"893","AL445231.1"
"894","TTF2"
"895","TRIM45"
"896","AL358072.1"
"897","MAN1A2"
"898","TENT5C"
"899","GDAP2"
"900","WDR3"
"901","WARS2"
"902","WARS2.AS1"
"903","ZNF697"
"904","PHGDH"
"905","NOTCH2"
"906","SEC22B"
"907","NBPF26"
"908","AC253572.2"
"909","LINC00623"
"910","FAM72B"
"911","SRGAP2C"
"912","LINC02591"
"913","HIST2H3PS2"
"914","FAM72C"
"915","LINC02802"
"916","NBPF15"
"917","SRGAP2B"
"918","FAM72D"
"919","AC245014.3"
"920","NBPF20"
"921","GPR89A"
"922","PDZK1"
"923","CD160"
"924","RNF115"
"925","POLR3C"
"926","NUDT17"
"927","PIAS3"
"928","ITGA10"
"929","PEX11B"
"930","RBM8A"
"931","LIX1L.AS1"
"932","LIX1L"
"933","ANKRD34A"
"934","POLR3GL"
"935","TXNIP"
"936","AC239799.2"
"937","LINC01719"
"938","NBPF10"
"939","NOTCH2NLA"
"940","AC239799.1"
"941","AC245407.2"
"942","NBPF12"
"943","PRKAB2"
"944","AC242426.2"
"945","FMO5"
"946","CHD1L"
"947","LINC00624"
"948","BCL9"
"949","ACP6"
"950","GPR89B"
"951","AC239803.1"
"952","LINC02804"
"953","NBPF11"
"954","LINC01138"
"955","PPIAL4G"
"956","NBPF14"
"957","NUDT4B"
"958","PDE4DIP"
"959","NBPF9"
"960","AC245297.3"
"961","AC245297.2"
"962","NOTCH2NLC"
"963","NBPF19"
"964","HIST2H2BF"
"965","HIST2H3D"
"966","HIST2H4A"
"967","HIST2H2AA3"
"968","HIST2H2AA4"
"969","HIST2H4B"
"970","AC239868.1"
"971","HIST2H2BE"
"972","HIST2H2AC"
"973","HIST2H2AB"
"974","BOLA1"
"975","SV2A"
"976","SF3B4"
"977","MTMR11"
"978","OTUD7B"
"979","AC244033.2"
"980","VPS45"
"981","PLEKHO1"
"982","AC242988.2"
"983","ANP32E"
"984","CA14"
"985","APH1A"
"986","C1orf54"
"987","CIART"
"988","MRPS21"
"989","PRPF3"
"990","RPRD2"
"991","TARS2"
"992","FALEC"
"993","ADAMTSL4"
"994","ADAMTSL4.AS1"
"995","MCL1"
"996","ENSA"
"997","GOLPH3L"
"998","CTSS"
"999","CTSK"
"1000","ARNT"
"1001","SETDB1"
"1002","CERS2"
"1003","MINDY1"
"1004","PRUNE1"
"1005","BNIPL"
"1006","C1orf56"
"1007","CDC42SE1"
"1008","MLLT11"
"1009","GABPB2"
"1010","TNFAIP8L2"
"1011","SCNM1"
"1012","LYSMD1"
"1013","VPS72"
"1014","PIP5K1A"
"1015","PSMD4"
"1016","ZNF687.AS1"
"1017","ZNF687"
"1018","PI4KB"
"1019","RFX5"
"1020","AL391069.2"
"1021","PSMB4"
"1022","POGZ"
"1023","CGN"
"1024","TUFT1"
"1025","AL365436.2"
"1026","SNX27"
"1027","MRPL9"
"1028","OAZ3"
"1029","TDRKH"
"1030","TDRKH.AS1"
"1031","THEM4"
"1032","S100A10"
"1033","AL450992.1"
"1034","S100A11"
"1035","FLG2"
"1036","S100A9"
"1037","S100A8"
"1038","S100A6"
"1039","S100A4"
"1040","S100A2"
"1041","S100A13"
"1042","AL162258.2"
"1043","CHTOP"
"1044","SNAPIN"
"1045","ILF2"
"1046","INTS3"
"1047","SLC27A3"
"1048","GATAD2B"
"1049","AL358472.5"
"1050","DENND4B"
"1051","CRTC2"
"1052","SLC39A1"
"1053","AL358472.4"
"1054","AL358472.3"
"1055","CREB3L4"
"1056","JTB"
"1057","AL358472.2"
"1058","RAB13"
"1059","RPS27"
"1060","TPM3"
"1061","C1orf43"
"1062","UBAP2L"
"1063","HAX1"
"1064","ATP8B2"
"1065","IL6R.AS1"
"1066","IL6R"
"1067","SHE"
"1068","UBE2Q1"
"1069","ADAR"
"1070","KCNN3"
"1071","PMVK"
"1072","AL451085.1"
"1073","PBXIP1"
"1074","PYGO2"
"1075","AL451085.2"
"1076","SHC1"
"1077","CKS1B"
"1078","FLAD1"
"1079","ZBTB7B"
"1080","DCST1.AS1"
