"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj"
"KLHL21",585.8492360663,0.610823373208258,1.75106314147821,0.348830010031856,0.727216932136185,0.999677995230459
"PHF13",219.544319179226,1.91193834128256,1.90677539944887,1.00270768221322,0.316001922225711,0.999677995230459
"THAP3",372.598388046992,1.79516315614951,2.14425000467504,0.837198625270173,0.402480930093565,0.999677995230459
"DNAJC11",877.628522108893,0.155636765627237,1.78704766384679,0.087091558202882,0.930598735468155,0.999677995230459
"CAMTA1",1271.93981719798,0.645145129967621,0.845123081034756,0.763374169331306,0.44524028030234,0.999677995230459
"VAMP3",1180.08854134,-0.685881984423174,1.86896517227176,-0.366984893351155,0.713630286399124,0.999677995230459
"PARK7",8373.82880997409,1.1126811874935,1.42651195008048,0.780001308387725,0.435390105041683,0.999677995230459
"Y_RNA",34.0054780349478,-0.841975979532758,2.37231097828609,-0.354918047102348,0.722650987887713,0.999677995230459
"RERE",470.504653057152,-0.619415053334368,1.19955302819288,-0.516371547381707,0.60559493400996,0.999677995230459
"ENO1",68723.8934564773,-0.173269369699215,1.22070117234437,-0.141942494711011,0.88712542819,0.999677995230459
"ENO1-AS1",9.39684095797582,0.257285398866894,1.73518136175936,0.148275796719038,0.88212511562456,NA
"HMGN2P17",10.0903755905838,-0.323146442369833,1.27644311074374,-0.253161648686049,0.80014330124954,NA
"SLC2A5",4129.66909995929,3.60495301777472,2.22103350273248,1.62309709121436,0.104568651339895,0.820281622262399
"MIR34AHG",57.9439745428934,-0.210696275524747,2.0749577660953,-0.101542440510122,0.919119868986824,0.999677995230459
"H6PD",114.11275539757,5.12113655257033,2.03045987313382,2.52215600038742,0.0116637969156462,0.301000288541271
"SPSB1",91.8538759961185,4.06900012403658,1.71007533002291,2.37942741620748,0.017339557502603,0.366602813142384
"SLC25A33",633.35535632891,1.66988436123256,1.16010234839178,1.43942848107107,0.150029159709816,0.906806557166849
"PIK3CD",299.338062283851,0.521605152334776,1.87037292005195,0.27887762207351,0.780338742498833,0.999677995230459
"CLSTN1",547.616038963788,0.709695073911056,1.77793498189362,0.399168181704363,0.689769286326506,0.999677995230459
"CTNNBIP1",88.004427508703,-0.387720546357789,1.66922007019199,-0.23227647047953,0.816323286552681,0.999677995230459
"LZIC",244.245986499388,2.25369955017583,1.47756214859652,1.52528240677831,0.127188673996077,0.877312468315172
"NMNAT1",109.050755092918,0.717654868281168,1.91000701851856,0.37573415245238,0.707114545196901,0.999677995230459
"UBE4B",602.764564175613,0.477099455764494,1.15560407327288,0.412857194604083,0.679711244381268,0.999677995230459
"KIF1B",204.95930796244,-0.687359919725584,1.77063976205245,-0.388198624280767,0.697869051164929,0.999677995230459
"PGD",1701.67088478983,1.2441825913273,1.63837663812848,0.759399616896721,0.447613542626961,0.999677995230459
"DFFA",1241.69726989003,0.409258486696271,1.41084462068763,0.290080481362152,0.771754667733443,0.999677995230459
"PEX14",251.671158984746,-0.320837007441773,1.21331191573387,-0.264430772731443,0.791448001929382,0.999677995230459
"TARDBP",489.702303440742,-0.31545789029952,1.66642032887107,-0.189302713627618,0.849855568611241,0.999677995230459
"SRM",7391.57757125642,-0.668097899347583,0.898037407138024,-0.743953307554035,0.456904723606465,0.999677995230459
"EXOSC10",2325.70735970913,-1.05256085510148,1.31604655863185,-0.799789983262988,0.423832487537721,0.999677995230459
"MTOR",424.032433570408,0.313434174227407,1.46236468591303,0.214333795972182,0.830286764977157,0.999677995230459
"UBIAD1",1527.00257858637,1.7018457794911,1.23959294153903,1.37290696200492,0.169781271980466,0.937423539271351
"FBXO44",33.6345482990121,-1.92961084095374,1.55306527555867,-1.2424531481844,0.214069416595362,0.981728666152391
"MAD2L2",3567.62386017577,-1.50400281513407,1.42060171810327,-1.05870828957053,0.289732651450062,0.999677995230459
"AGTRAP",1162.40039354511,-1.27084124743814,1.37925178004427,-0.921399026505043,0.356842136839958,0.999677995230459
"MTHFR",192.172810896496,1.29720126801252,1.52973026268658,0.847993466334595,0.396441609435902,0.999677995230459
"CLCN6",308.521961555208,-1.96030815763154,1.87177405294975,-1.04729956831182,0.294961435134498,0.999677995230459
"KIAA2013",1378.12281360111,0.650256800015702,1.4576737523621,0.446092137532137,0.655530692004332,0.999677995230459
"PLOD1",2485.78120948968,-0.171213648773871,1.47938220760766,-0.115733208019815,0.907863986890532,0.999677995230459
"MFN2",959.458818311417,0.368013755565959,1.72563913814337,0.213262290725457,0.831122384598838,0.999677995230459
"MIIP",1403.71330592653,0.442889770087617,1.73199690059985,0.255710486510818,0.798174397258447,0.999677995230459
"TNFRSF1B",2117.75210629917,0.471544886956138,0.868675435257654,0.542832072621319,0.587245428491889,0.999677995230459
"VPS13D",331.084328414619,0.621348941570243,1.12717604546845,0.551243919765888,0.581466476307591,0.999677995230459
"DHRS3",81.1060882139179,0.583873497296344,1.65352127706637,0.353109152808869,0.724006611372203,0.999677995230459
"HNRNPCL1",4.81278207021815,0.911705487626983,1.81726152643471,0.501691954825929,0.6158842245513,NA
"HNRNPCL2",1.80090400134399,0.73827740869295,2.08185230448923,0.354625257085219,0.722870351979441,NA
"PRDM2",1472.68967413989,0.305849438222129,0.845008762941518,0.361948244367847,0.717390706828772,0.999677995230459
