Mixture	bd_highCXCR4_like	tn_lowCD74_like	bd_cycling_like	tn_cycling_like	bd_end_like	bd_lowCXCR4_like	bd_pb_like	tn_highCD74_like	P-value	Correlation	RMSE
p35	0.308402498509728	0.133354900323013	0	0.00905337656240504	0	0.544259470731809	0	0.0049297538730455	0	0.155260779213758	1.0047947016909
p36	0.200744359045506	0.0275230010263476	0.158505820730669	0	0.0671208865092721	0.516018044451398	0.0300878882368076	0	0	0.275244540198929	0.986361072482348
p37	0.338792133447063	0.124672783956466	0	0	0.0769377657391145	0.44625173797466	0.0133455788826965	0	0	0.257631727121781	0.998986688886823
p38	0	0.325094236910702	0.234130798091065	0	0	0.42679557655055	0.0139793884476835	0	0	0.174917599842733	0.996044006378298
p39	0	0.344418885375352	0.039251939956456	0	0.201897290160789	0.398957314449925	0.0154745700574778	0	0	0.158891786228169	1.00336439396371
p40	0.00406161118090472	0.271092488584147	0.0718451056740995	0	0	0.638495693177246	0.0145051013836028	0	0	0.211018198095504	0.998314272586113
p41	0.501622473923379	0.0708520026796921	0	0.012959670375037	0.313054490648265	0.067696875193693	0.0338144871799336	0	0	0.244975886561787	0.994255139350086
p42	0.444905365334558	0.167738684553857	0	0.00820158286581906	0.147234920059438	0.22206332727472	0.00985611991160712	0	0	0.286382575540485	0.998109489920372
p43	0.0280177868084783	0.327962417288731	0.135202714592081	0.00760183400727376	0.0855534477163613	0.408647400615611	0.00701439897146333	0	0	0.272497392846442	0.991436360782526
p44	0.477640748773755	0.0757019249908194	0.0272732426080609	0	0.0676092433925413	0.31542457601592	0.0363502642189039	0	0	0.276087500260652	0.99060900288767
p45	0.155621504779041	0.406495135153099	0.119368096473151	0.0305006845402702	0	0.275547762167407	0.0124668168870312	0	0	0.19435919885074	0.997095358520403
p46	0.135528503965958	0.0121736677448649	0.401310083458407	0.0340699973786511	0.0496672222903928	0.309004758874944	0.0582457662867831	0	0	0.262495402284736	0.972385201328807
p47	0	0.188281648840804	0.00164688844398838	0.010497339414469	0.0499665693066527	0.749607553994086	0	0	0	0.111476465727175	1.0072022474307
p48	0.192379860286187	0.243562297038873	0	0	0	0.541462603931582	0.0225952387433585	0	0	0.152754751595522	1.00331087486831
p49	0.0617603574489694	0.224093107705904	0	0	0.0330764649094663	0.674666542647545	0.00640352728811559	0	0	0.275108640365382	0.998841557961605
p50	0.178424901548382	0.354192418017652	0	0	0.0737197068722498	0.374623330421857	0.0190396431398597	0	0	0.136807893175304	1.00533858023625
p51	0.150355615454463	0.275921638980692	0.0759079973393933	0	0.0937805717563444	0.403709652180464	0	0.000324524288643116	0	0.188879682296698	1.00179439686623
