Mixture	bd_highCXCR4_like	tn_lowCD74_like	bd_cycling_like	tn_cycling_like	bd_end_like	bd_lowCXCR4_like	bd_pb_like	tn_highCD74_like	P-value	Correlation	RMSE
MMRF_1790	0.347380317217519	0.0748114298078031	0.096987052620038	0	0.3415376422466	0.0570125629729257	0.0822709951351143	0	0.01	0.0936341694628521	1.00342205779289
MMRF_1790.1	0.383339466399472	0	0.225544131001929	0	0.103304063051256	0.263255042226288	0.0245572973210542	0	0	0.209200164890605	0.995361693343769
MMRF_2083	0.44762192265205	0	0	0	0.473573770781323	0	0.0788043065666273	0	0	0.130454883283494	0.999167727254249
MMRF_1049	0.275463473821893	0.0948392510389021	0.151778629583579	0.0127435376822919	0.0969046857819339	0.3682704220914	0	0	0	0.159147491473419	1.00314385425091
MMRF_1223	0.185715626005135	0.101605982778522	0.23520359466353	0	0.330109161164438	0.122010277304085	0.0253553580842913	0	0	0.174560850646751	0.998578735238305
MMRF_1913	0.334636266388664	0.152579141929215	0	0	0	0.484880010812325	0.0279045808697954	0	0.03	0.0760758168474371	1.0073088094189
MMRF_2085	0.101336280139791	0.202270012201878	0	0.00292459625233689	0	0.674101394364185	0.0193677170418092	0	0	0.124474539006968	1.00514541012269
MMRF_1790.2	0.514927140068538	0	0.167762258022296	0.0234938179603656	0.136600240016654	0.143401804092644	0.0138147398395024	0	0	0.2713498667606	0.99313969417974
MMRF_2419	0.0595422085021975	0.197953509624753	0.0154305453032809	0	0.0161631878630927	0.697434278649526	0.0134762700571496	0	0	0.13941508213197	1.0050502343958
MMRF_1137	0.387641891137509	0.185394253223033	0	0.020112605624494	0.350309159880816	0	0.0565420901341484	0	0	0.128556012031624	1.00084932085802
MMRF_1137.1	0.628345202744152	0	0.217804415617043	0.153850381638805	0	0	0	0	0	0.300406010723279	0.981891426469895
MMRF_1433	0.0395038933226182	0.1915955453411	0	0	0.209002330696586	0.528477506823586	0.03142072381611	0	0.01	0.0975998144480681	1.00583160614395
MMRF_1639	0	0.155798066607317	0.204905483322209	0.0146271882978222	0	0.612991074936307	0.0116781868363443	0	0.01	0.11344124356067	1.00351702975741
MMRF_2126	0.113804876638262	0.438132289719854	0.345564070508802	0.0507334542838354	0	0.0517653088492465	0	0	0	0.25547006253623	0.989076532911072
MMRF_2122	0.168222284304778	0.362154453697403	0.114353462842716	0.000591389721103538	0.151387275830737	0.203291133603262	0	0	0	0.127717140363986	1.0069414670102
MMRF_1838	0.381689127041471	0.0725734288401754	0.0133296536700117	0	0.401802076251132	0.0952750522385449	0.0353306619586647	0	0	0.271581875842184	0.993400551833599
MMRF_1201	0.276533156982987	0	0.024537223323263	0.0219976375395768	0.470460898557389	0.199249313848482	0	0.00722176974830232	0	0.377801883407187	0.994741705922166
MMRF_1112	0.142476671580773	0.240350877950842	0.000232004593952558	0	0.199021469349086	0.381846978561469	0.0360719979638775	0	0.03	0.0740855336951468	1.0071981207823
MMRF_1256	0.399720241546436	0.114506345807257	0.0141831491412629	0	0.340969519192545	0.110989795895181	0.019630948417318	0	0.01	0.106321815630836	1.00733719357349
MMRF_1284	0.173722204214273	0.205498703036333	0	0.00409727445144425	0.386948655357405	0.158282026339028	0.071451136601517	0	0.17	0.0319128640716769	1.01157321956163
MMRF_1157.1	0.274199289125474	0.0346991731516932	0.0683679691122277	0	0.451044890797469	0.140609884028851	0.0310787937842846	0	0	0.238686888564259	0.996260208131231
MMRF_1293	0.099940613866711	0	0.270736208496173	0.0195046826849123	0.0297893912800366	0.580029103672167	0	0	0	0.210259287323665	0.995505765148998
MMRF_1700	0.296108028430762	0.241109389418717	0.236534983274488	0.0342902338513103	0.176452689554335	0	0.0155046754703878	0	0	0.18593066957944	0.997774897767895
MMRF_1380	0.0553060639210343	0.252988220969874	0.0094213355565212	0	0.487165859673827	0.175627987885313	0.0194905319934304	0	0.15	0.0341610039807311	1.0112300865736
MMRF_2017	0.32742732458563	0.0835281710400938	0.1692579997794	0	0.287545039412085	0.0723220454917853	0.0599194196910051	0	0	0.154079377687149	0.996224741893768
MMRF_1659	0	0.212460486942447	0.262403580742692	0	0.136319883139625	0.370072199532136	0.0187438496431006	0	0	0.227029215842919	0.994316889452557
MMRF_2401	0.0250757347428197	0.357562277194922	0.144709696690717	0.0157995153875755	0	0.434381955607547	0.0224708203764184	0	0.02	0.0819039918373972	1.00590902620824
MMRF_1242	0	0.279079066093676	0.358696223154512	0	0	0.358211500960861	0.00401320979095168	0	0	0.211079092028386	0.994300209805931
