Mixture	bd_highCXCR4_like	tn_lowCD74_like	bd_cycling_like	tn_cycling_like	bd_end_like	bd_lowCXCR4_like	bd_pb_like	tn_highCD74_like	P-value	Correlation	RMSE
MMRF_1641	0.291884589639363	0.0661298340819758	0.118732116198884	0	0.414710520430741	0.0990163595210999	0.0095265801279362	0	0	0.218868995004858	1.00127206880567
MMRF_2596	0.289840777813194	0.122899570398886	0.0437485473592427	0	0.174024277463935	0.358190513550947	0.0112963134137942	0	0	0.203307328051088	1.00267958046921
MMRF_2614	0.243575775362385	0.346982184852724	0.0272815654312082	0	0.0462974723949923	0.309637660272976	0.026225341685715	0	0.01	0.103449065371447	1.0060768624887
MMRF_2706	0.128737199329303	0	0.462445631927086	0.145464620494899	0	0.263352548248712	0	0	0	0.177160993970928	0.991164341872763
MMRF_1380	0.00988331887599431	0.407280412073345	0.00882686788326086	0.00388909074914566	0.28386138611114	0.274400699354084	0.0118582249530304	0	0.05	0.0578570057961902	1.01049620535718
MMRF_2699	0.235855573247917	0.256578343011301	0	0	0.362039199976771	0.117852112129267	0.0276747716347439	0	0.03	0.0768432694453759	1.0083877216374
MMRF_1395	0.101616367327159	0.126823560810737	0.15625221130882	0	0.12508149921827	0.490226361335014	0	0	0	0.20627425264077	1.00063844006142
MMRF_2366	0.475240138452091	0.0686968350142541	0.0402548346813931	0	0.404068169742396	0	0.0117400221098663	0	0	0.175798635392888	1.00471113043894
MMRF_1235	0.116593545485001	0.232500498061354	0.0332931666619253	0	0.17113987927395	0.440642396508576	0.00583051400919368	0	0	0.215803493525561	1.00359742352272
MMRF_1078	0.277686966272592	0	0.0975737446416475	0	0.0472487107007952	0.545316028478131	0.0321745499068351	0	0.02	0.0779971868441828	1.00580011996122
MMRF_1266	0.122404124770454	0.322175135755446	0.00703909639945169	0	0.0861258839644824	0.434269427008054	0.0279863321021118	0	0.05	0.0596015854572717	1.00854613977541
MMRF_1073	0.168158145818719	0.230463893947824	0	0	0.318956585503494	0.278047829689947	0	0.00437354504001606	0.03	0.075820207561362	1.01050907386832
MMRF_1342	0.363869516361658	0.11735620985043	0.176501878543573	0.0170293179128501	0.283475576655987	0.0364809414173753	0.00528655925812586	0	0	0.184047156032685	1.00130995368567
MMRF_2795	0.193037529787026	0.461565532111616	0.00126871474590319	0	0.0681974939588778	0.225420392165476	0.0505103372311013	0	0.21	0.0231956807779161	1.01106847841059
MMRF_1583	0	0.0968235108008278	0.280722117165521	0.0485458382496771	0.0778244977200164	0.496084036063958	0	0	0	0.169149689966666	0.997928601624156
MMRF_2211	0	0.13354796739594	0.555491315294345	0	0	0.310960717309715	0	0	0	0.346456511443166	0.972762358112723
MMRF_1296	0.0204250560648868	0.163188083579883	0.224090500394826	0.0747771058717948	0	0.517519254088609	0	0	0	0.194368478803763	0.995984721222632
MMRF_1098	0.568515894859423	0	0	0	0.357414510842022	0.0479318287482107	0.0261377655503446	0	0	0.369648784664511	0.989328929367992
MMRF_2301	0.341539456601055	0.0524165088687797	0.105278647922586	0	0.339661562368993	0.146049384348492	0.0150544398900943	0	0	0.146647130354564	1.004338394979
MMRF_1541	0.457239558545806	0	0	0	0.432359486001015	0.0880757267281185	0.0223252287250599	0	0	0.40314702047523	0.989884200751059
MMRF_2113	0.0625714682272742	0.359411030244766	0	0	0.198696300372589	0.373854918309734	0.00546628284563663	0	0.02	0.0879725515072005	1.00985833186446
MMRF_2514	0.0437365653127712	0.269573727673641	0.0251780529636707	0	0.143321963106792	0.506345600305393	0.0118440906377318	0	0	0.144994783696988	1.00582121920639
MMRF_1918	0.652701499528446	0	0	0.0215977398062628	0.204416329269924	0.100152178498139	0.0211322528972285	0	0	0.420700183765347	0.985526893884902
MMRF_2150	0	0.0964122203455405	0.15015402779359	0	0	0.753371413194449	6.23386664201656e-05	0	0	0.259843295839688	0.996251580305131
MMRF_1744	0	0.355299378205555	0.115367971011871	0	0.0823812180782208	0.439935981849135	0.00701545085521871	0	0.01	0.105863632256047	1.00680960516849
MMRF_1445	0.323492948018726	0.0404161549928835	0	0.0215491032165756	0.399420098746177	0.209989483954121	0.00513221107151754	0	0	0.163275003997341	1.00610246384888
MMRF_1722	0.145229977830873	0.194466568819349	0.127932839982507	0	0.416292711992251	0.112884127632854	0.00319377374216675	0	0	0.274577060062566	0.999421305836746
MMRF_1201	0.573160625372697	0	0.00433723341663966	0	0.419067028539791	0	0.00343511267087237	0	0	0.569581289642359	0.987349493030909
MMRF_2000	0.231835604042291	0.295330934434676	0.00343602704584859	0	0.409718104866889	0.0447196728240843	0.0149596567862108	0	0	0.324277504792107	0.999460432595736
MMRF_1897	0.21540582287585	0.230623518203865	0.270600331861104	0	0.26440982579562	0.00484106115382163	0.0141194401097394	0	0	0.187808989701923	0.998597710258412
