NAME	bd_highCXCR4_like	tn_lowCD74_like	bd_cycling_like	tn_cycling_like	bd_end_like	bd_lowCXCR4_like	bd_pb_like	tn_highCD74_like
CDC6	1	1	37.3569468018954	37.5184569736977	1	1	1	1
CDCA2	1	1	26.2186183463786	103.453032960893	1	1	1	1
CDCA3	1	1	29.9405914594358	30.9581860481647	1	1	1	1
CDCA4	1	1	24.0274876583111	22.0776899559977	1	1	1	1
CDCA5	1	1	29.1572586274053	37.7572240976335	1	1	1	1
CDCA8	1	1	37.9772013550196	85.3088312561446	1	1	1	1
CDHR3	1	1	1	1	1	1	95.5769347314974	128.133975788911
CDK1	1	1	88.6008103549414	98.3443703604434	1	1	1	1
CDK17	1	1	22.1997099254063	1	1	1	166.714474389219	190.783726242817
CDK19	1	1	1	162.356389680654	1	1	306.722229126304	367.964427678651
CDK5	1	1	22.7754306002456	13.7157249054392	1	1	1	1
CDK5RAP1	1	1	1	20.0202895384674	1	1	27.1785249812562	1
CDK8	1	1	1	1	1	1	97.2262124904013	125.260693052158
CDKL1	1	1	1	1	1	1	140.491435047941	176.90266589002
CDKN3	1	1	109.877667745591	155.911284970049	1	1	1	1
CDT1	1	1	37.2310679148089	35.6838522237836	1	1	1	1
CECR2	1	1	1	1	1	1	303.026191015302	479.41333546107
CEMIP	1	1	1	1	1	1	294.407413783214	280.854363633632
CEMIP2	1	1	1	1	1	1	70.7341960008179	98.5327631132768
CENPA	1	1	48.5666319359882	152.863313589219	1	1	1	1
CENPE	1	1	70.7516712648798	232.073267659219	1	1	1	1
CENPF	1	1	275.465667442821	561.290339046614	1	1	1	1
CENPH	1	1	61.1624274115891	55.0549873804701	1	1	1	1
CENPK	1	1	73.1406147058665	114.480973725129	1	1	1	1
CENPL	1	1	22.0831383289695	44.2274729145135	1	1	1	1
CENPM	1	1	51.4560492694855	64.6209556504173	1	1	1	1
CENPN	1	1	54.3034598289408	35.0699799036788	1	1	1	1
CENPP	1	1	46.1992099268566	106.217616241196	1	1	1	1
CENPQ	1	1	28.914486538196	24.4783478113709	1	1	1	1
CENPU	1	1	67.8943967174412	113.373331261139	1	1	1	1
CENPW	1	1	79.0446574265905	87.1430817119861	1	1	1	1
CEP112	1	1	1	1	1	1	90.3604610841123	178.843568829984
CEP152	1	1	32.3178965266512	69.6386666920746	1	1	1	1
CEP295	1	1	23.0009682756943	13.68870753974	1	1	1	1
CEP44	1	1	19.250791881515	37.0701997726307	1	1	1	1
CEP55	1	1	43.8014064426087	77.3951446327041	1	1	1	1
CEP95	1	1	1	1	1	1	101.654593235079	133.381040648246
CERS6	1	1	1	1	1	1	83.3284471810982	76.2505802294921
CETN3	1	1	23.8542680686548	31.3490195217167	1	1	1	1
CFAP73	1	1	1	1	1	1	161.088509378215	120.962853089245
CHAC2	1	47.9975752130347	69.6923524465425	1	1	39.9412211041104	1	1
CHAF1A	1	1	38.5200340669421	54.1813453045403	1	1	1	1
CHCHD4	1	1	17.9445475614782	25.4316844836517	1	1	1	1
CHEK1	1	1	40.4979836404252	48.5469933972131	1	1	1	1
CHIC2	1	1	1	32.219128961168	1	1	146.057745942643	182.678321615189
CHPF2	1	21.2303279813055	1	1	1	20.9096005977852	1	1
CHPT1	1	1	1	1	1	1	153.145059665689	168.146878918636
CHRAC1	1	1	29.1351821787844	1	1	1	27.7527284043276	1
CIAPIN1	1	1	15.5607765017189	26.2448567689604	1	1	1	1
CIITA	1	1	1	1	1	1	191.662577952024	183.385296064666
CIP2A	1	1	28.4937150633339	90.3446276940829	1	1	1	1
CKAP2	1	1	67.1837121707284	138.382935588178	1	1	1	1
CKAP2L	1	1	49.4635260692495	135.352712382452	1	1	1	1
CLASP1	1	1	1	46.6896561874327	1	1	174.838499282566	188.62550772432
CLEC16A	1	1	1	1	1	1	149.960921260573	199.843046549507
CLEC2D	1	1	1	69.2245539521073	1	1	225.221306652369	195.046887202322
CLPB	1	1	17.7377557149692	18.9873799810594	1	1	1	1
CLSPN	1	1	71.581263133194	41.9312570170946	1	1	1	1
CMAS	1	1	23.0948316877007	1	1	16.5027652191187	1	1
CMIP	1	1	1	1	1	1	299.920634649061	356.595964404381
CMTM7	1	1	53.2751179552287	93.4069818159298	1	1	766.238011086426	1026.42280450036
CMTM8	1	1	1	49.3608992660106	1	1	197.218696617104	242.503849485898
CNOT8	1	1	1	1	1	1	101.618165958941	95.2449038558429
CNOT9	1	1	18.4409228193729	1	1	1	25.0654882128264	1
CNR2	1	1	1	1	1	1	79.6665204480638	39.8819409620005
CNTN5	32.5286074345633	1	1	1	1	33.6038780989649	1	1
COA8	1	1	37.5741947980336	16.9106768330489	1	23.3495413559888	1	1
COG2	1	1	1	14.7738168847462	1	19.5001560613795	1	1
COLGALT1	1	1	16.8965641469516	99.0614050311162	1	1	295.414799202975	370.430218759695
COMMD5	1	1	24.6165059456194	32.3516432792748	1	19.9960701296966	1	1
COMMD8	1	1	26.7746319845873	24.1834941253573	1	22.3640288651554	1	1
COQ8A	1	1	19.8658089822777	1	1	20.350402527033	1	1
COQ9	1	1	17.1917634089718	18.1437891781061	1	1	1	1
COX18	1	19.6081043969089	1	23.801813212105	1	1	1	1
CPM	1	1	1	1	1	1	136.933260800343	114.383023425843
CPSF3	1	1	20.342086871693	1	1	1	22.1408814819337	1
CPSF4	1	1	18.3409181244027	15.6475118863215	1	1	1	1
CRAMP1	1	1	1	1	1	1	99.0526807717477	115.533779832709
CRIM1	1	1	1	1	1	1	167.322048594642	290.660443628614
CSF3R	1	1	1	1	1	1	74.1756766779541	44.0609155950798
CSTF1	1	1	21.0714198858429	52.9505142800911	1	1	1	1
CTAG2	1	52.8052482424918	133.002169493269	1	1	108.966641436257	1	1
CTBP2	1	1	1	1	1	1	121.324196490028	116.942418904809
CTNNAL1	1	1	45.097589332314	25.4000302569314	1	1	1	1
CTU1	1	1	19.375626569486	1	1	20.5484794837899	1	1
CYB561	1	1	16.0396963771572	1	1	18.6914698551562	1	1
CYB5A	17.7895884170532	1	37.3216078610562	1	1	31.1660309994158	1	1
CYFIP2	1	1	1	1	1	1	332.189796764977	378.291343758097
CYTH2	1	1	18.0275663692843	28.926537078653	1	1	1	1
CYTH3	1	1	1	1	1	1	155.307046177135	152.681792261336
CZIB	1	1	21.6057324607944	1	1	1	21.3298358821667	1
DCAF5	1	1	1	1	1	1	81.8609961796726	127.124752099327
DCLK1	1	24.8227626096669	41.2588108107521	1	1	1	1	1
DCLK2	1	1	1	1	1	1	47.1848742773539	96.5697834926949
DDB2	1	1	32.2397793373328	31.2630398321348	1	1	1	1
DDX11	1	1	20.9857511549817	44.8539970849041	1	1	1	1
DENND1A	1	1	1	1	1	1	184.417796232029	265.911096750124
DENND4C	1	1	1	1	1	1	71.3652302109571	165.533695870933
DENND5A	1	1	1	1	1	1	95.0611020301235	132.955805971741
DENND6B	1	1	27.4866378950538	17.3806756635594	1	1	1	1
DEPDC1	1	1	35.2752705052331	52.804825034231	1	1	1	1
DEPDC1B	1	1	34.926790468011	39.9476954121063	1	1	1	1
DEPTOR	44.2738416205393	1	19.611025934969	1	1	32.0922126484494	1	1
DGCR6L	1	1	32.0585427635256	1	1	20.8240540760743	1	1
DGKD	1	1	40.1391938936417	75.3392202348788	1	18.2316289456021	546.436299000552	500.793422145579
DHFR	1	1	86.236036840216	71.5006098918639	1	1	40.2396753320014	1
DHRS4	1	1	29.2330976543148	27.5206988344628	1	1	1	1
DHRS4L2	1	1	27.5111507054698	1	1	24.7764702323232	1	1
DHRSX	1	1	1	35.7944322555519	1	1	267.205295822939	274.810546591843
DIAPH2	1	1	1	1	1	1	298.112544449774	328.755505635564
DIAPH3	1	1	42.8906801630331	101.058190949933	1	1	1	1
DIP2B	1	1	1	1	1	1	249.111897763767	260.302336365507
DIPK2A	1	1	1	1	1	1	92.0440308638538	90.8330073152489
DIS3L2	1	1	1	1	1	1	120.196601695024	153.916634878374
DISP1	1	1	1	1	1	1	90.1191908130943	92.6848119236953
DLG2	1	1	1	1	1	1	574.833902796548	853.872749582814
DLGAP5	1	1	59.8500236661816	121.836702471601	1	1	1	1
DNAAF2	1	1	18.7979577507601	1	1	1	34.3143286355594	1
DNAJC30	1	1	18.2801575638078	1	1	21.8855051478324	1	1
DNAJC9	1	1	63.7308797106827	44.557928538439	1	18.4836627730644	1	1
DNTTIP1	1	1	21.8158610686469	24.4556964317329	1	1	1	1
DOCK10	1	1	1	1	1	1	489.477111883104	595.816480902099
DOCK4	1	1	1	1	1	1	34.9564196459639	93.8646157810189
DONSON	1	1	31.6961709999577	39.7216823310516	1	1	1	1
DOP1A	1	1	1	1	1	1	82.4426301456189	100.766785580488
DOP1B	1	1	1	1	1	1	139.993763449322	217.329359877096
DPAGT1	1	23.4789637138317	22.2911897161896	1	1	1	1	1
DPY19L1	1	1	18.4396945615107	33.6548917829224	1	1	1	1
DPYD	44.8652928287011	1	56.3067064293112	55.4727439926386	1	60.3924945656106	910.15738737615	1365.36702496618
DPYD.AS1	1	1	1	1	1	1	119.910519413119	198.673904759128
DRG2	1	1	16.4405253562248	26.5545110667337	1	1	1	1
DTL	1	1	35.056115480259	72.5387858667704	1	1	1	1
DTNBP1	1	1	22.3815890352236	1	1	1	221.59594207846	344.665328852054
DTX1	1	1	1	61.9195415832436	1	1	680.215958399264	758.360847261268
